protocol,start,end,sum
TCP,80,49459,1
TCP,3207,80,1
TCP,3898,80,1
TCP,80,58927,1
TCP,80,26064,1
TCP,3496,80,1
TCP,5822,80,1
UDP,33022,42265,1
UDP,4394,13123,1
TCP,53822,80,1
TCP,12620,80,1
TCP,6947,80,1
TCP,80,37324,1
TCP,80,55291,1
TCP,80,13390,1
TCP,80,53566,1
TCP,16628,80,1
TCP,80,13168,1
TCP,4120,80,1
TCP,80,56758,1
UDP,9821,64796,1
TCP,80,39022,1
UDP,55049,13536,1
UDP,7109,34354,1
TCP,57479,80,1
TCP,80,10635,1
TCP,36007,80,1
UDP,4378,13123,1
TCP,30909,80,1
TCP,61218,80,1
TCP,80,24277,1
TCP,80,59119,1
TCP,44016,80,1
TCP,1043,80,1
UDP,6798,13536,1
UDP,48913,42265,1
TCP,21178,80,1
UDP,23945,26486,1
TCP,80,30858,1
UDP,58346,13536,1
TCP,9570,80,1
TCP,6304,80,1
TCP,80,18363,1
TCP,19551,80,1
TCP,50105,80,1
TCP,45315,80,1
TCP,80,45135,1
TCP,5927,80,1
TCP,80,45810,1
TCP,80,16129,1
TCP,5121,80,1
UDP,38955,26486,1
TCP,80,53820,1
UDP,30587,64796,1
UDP,13611,42265,1
TCP,57834,80,1
TCP,80,42271,1
TCP,80,50618,1
TCP,12557,80,1
TCP,23052,80,1
UDP,39751,35248,1
UDP,64834,34354,1
UDP,42959,42265,1
TCP,45605,80,1
TCP,13865,80,1
UDP,1031,34354,1
TCP,80,19153,1
TCP,80,25403,1
TCP,19126,80,1
TCP,9480,80,1
UDP,63235,42265,1
TCP,63690,80,1
TCP,80,11956,1
TCP,52483,80,1
TCP,58567,80,1
UDP,42783,42265,1
TCP,53633,80,1
TCP,80,1324,1
UDP,42580,39065,1
TCP,80,35086,1
TCP,9825,80,1
UDP,25011,34354,1
TCP,2315,80,1
UDP,27710,42265,1
UDP,24461,39065,1
TCP,15389,80,1
TCP,80,20525,1
TCP,35809,80,1
TCP,26691,80,1
TCP,46211,80,1
TCP,80,47626,1
TCP,810,6202,1
TCP,12542,80,1
TCP,1357,80,1
TCP,10106,80,1
TCP,810,18775,1
TCP,4591,80,1
TCP,80,17872,1
TCP,80,4783,1
TCP,36621,80,1
TCP,10675,80,1
TCP,62098,80,1
TCP,80,57336,1
TCP,80,58072,1
TCP,80,1438,1
TCP,37497,80,1
TCP,45602,80,1
UDP,4133,13536,1
TCP,80,7305,1
UDP,15933,35248,1
UDP,11777,42265,1
UDP,7499,64796,1
UDP,35283,13123,1
UDP,48260,35248,1
TCP,3395,80,1
TCP,50972,80,1
UDP,52632,42265,1
UDP,14675,13536,1
TCP,2796,80,1
TCP,35668,80,1
UDP,29599,13123,1
TCP,23202,80,1
UDP,51796,64796,1
TCP,55459,80,1
TCP,2466,80,1
UDP,1330,35248,1
UDP,60932,35248,1
UDP,7315,64796,1
TCP,80,46726,1
TCP,80,4699,1
TCP,28121,80,1
TCP,26384,80,1
TCP,80,53834,1
TCP,61565,80,1
TCP,22858,80,1
UDP,6248,64796,1
TCP,3964,80,1
TCP,4393,80,1
UDP,57335,39065,1
UDP,34742,26486,1
UDP,62098,13123,1
TCP,49109,80,1
UDP,43967,39065,1
TCP,80,63421,1
UDP,26206,26486,1
TCP,80,27003,1
TCP,3594,80,1
TCP,80,29602,1
TCP,22152,80,1
TCP,80,9467,1
TCP,80,29132,1
UDP,26211,13123,1
TCP,810,39675,1
TCP,80,42295,1
UDP,12765,34354,1
TCP,24647,80,1
TCP,19296,80,1
TCP,50997,80,1
TCP,65262,80,1
UDP,33926,39065,1
TCP,37063,80,1
TCP,42196,80,1
TCP,56346,80,1
TCP,17620,80,1
TCP,59635,80,1
UDP,55613,13536,1
TCP,50968,80,1
TCP,36259,80,1
TCP,42422,80,1
TCP,36349,80,1
TCP,52654,80,1
TCP,80,32493,1
UDP,11946,42265,1
TCP,80,14969,1
TCP,49464,80,1
TCP,80,10414,1
UDP,11975,35248,1
UDP,33145,13536,1
TCP,5877,80,1
TCP,49457,80,1
TCP,52827,80,1
UDP,27932,42265,1
