protocol,start,end,sum
TCP,60106,80,1
TCP,61908,80,1
TCP,18566,80,1
TCP,55434,80,1
TCP,21131,80,1
TCP,1321,80,1
TCP,1591,80,2
TCP,34497,80,1
TCP,58048,80,1
TCP,16464,80,1
TCP,24567,80,1
TCP,12545,80,1
TCP,1967,80,3
TCP,49570,80,1
TCP,2973,80,1
TCP,2795,80,1
TCP,26021,80,1
TCP,27425,80,2
TCP,6035,80,1
TCP,8293,80,1
TCP,3976,80,1
TCP,4790,80,3
TCP,33786,80,1
TCP,17661,80,1
TCP,1896,80,3
TCP,3581,80,1
TCP,50348,80,2
TCP,12927,80,1
TCP,6286,80,1
TCP,1125,80,2
TCP,2863,80,2
TCP,62497,80,1
TCP,1771,80,1
TCP,2336,80,2
TCP,3070,80,1
TCP,1494,80,1
TCP,17403,80,1
TCP,5595,80,1
TCP,2912,80,1
TCP,52705,80,1
TCP,49538,80,1
TCP,49471,80,2
TCP,21072,80,1
TCP,56389,80,1
TCP,47553,80,1
TCP,49563,80,1
TCP,49379,80,2
TCP,64161,80,1
TCP,4691,80,2
TCP,1719,80,3
TCP,2257,80,2
TCP,34832,80,1
TCP,51052,80,1
TCP,4463,80,2
TCP,1228,80,3
TCP,63599,80,1
TCP,17520,80,1
TCP,4679,80,1
TCP,53427,80,1
TCP,50764,80,1
TCP,11478,80,1
TCP,41976,80,1
TCP,51358,80,1
TCP,55110,80,1
TCP,4354,80,2
TCP,10610,80,1
TCP,40060,80,1
TCP,10723,80,1
TCP,1387,80,1
TCP,1150,80,1
TCP,49565,80,1
TCP,3750,80,2
TCP,2734,80,3
TCP,50534,80,2
TCP,3039,80,1
TCP,31921,80,1
TCP,56506,80,1
TCP,60697,80,1
TCP,26676,80,1
TCP,3056,80,1
TCP,36721,80,1
TCP,3047,80,1
TCP,32142,80,1
TCP,47476,80,1
TCP,49873,80,1
TCP,26113,80,1
TCP,47756,80,1
TCP,55839,80,1
TCP,11521,80,1
TCP,43542,80,1
TCP,59282,80,1
TCP,4380,80,1
TCP,2551,80,2
TCP,49736,80,1
TCP,2953,80,2
TCP,5291,80,1
TCP,45636,80,1
TCP,3948,80,1
TCP,17761,80,2
TCP,63790,80,1
TCP,1105,80,2
TCP,42582,80,1
TCP,57205,80,1
TCP,26650,80,1
TCP,6455,80,1
TCP,59969,80,1
TCP,1136,80,1
TCP,3656,80,1
TCP,49749,80,1
TCP,50430,80,1
TCP,55074,80,1
TCP,5979,80,1
TCP,65496,80,1
TCP,58495,80,1
TCP,35002,80,1
TCP,36736,80,1
TCP,50467,80,1
TCP,52342,80,1
TCP,63573,80,1
TCP,60801,80,1
TCP,2910,80,1
TCP,61264,80,1
TCP,29286,80,1
TCP,52927,80,1
TCP,19595,80,1
TCP,21007,80,1
TCP,21101,80,1
TCP,2278,80,3
TCP,1917,80,2
TCP,48517,80,1
TCP,22052,80,1
TCP,13729,80,1
TCP,1431,80,1
TCP,3492,80,2
TCP,53701,80,1
TCP,21233,80,1
TCP,62556,80,2
TCP,7678,80,1
TCP,4545,80,1
TCP,2470,80,1
TCP,5352,80,1
TCP,13186,80,1
TCP,3811,80,1
TCP,45019,80,1
TCP,48988,80,1
TCP,13383,80,1
TCP,3917,80,3
TCP,9142,80,1
TCP,3573,80,1
TCP,1334,80,2
TCP,38702,80,1
