protocol,start,end,sum
TCP,17446,80,1
TCP,44004,80,1
TCP,13617,80,1
TCP,54156,80,1
TCP,80,11923,1
TCP,80,50077,1
TCP,14320,80,1
TCP,80,10854,1
TCP,57838,80,1
TCP,80,10539,1
TCP,54327,80,2
TCP,7505,80,1
TCP,49035,80,1
TCP,80,15141,1
TCP,65052,80,1
TCP,32679,80,1
TCP,50659,80,2
TCP,36315,80,1
TCP,10856,80,1
TCP,46106,80,2
TCP,35588,80,1
TCP,80,30809,1
TCP,17077,80,1
TCP,11347,80,1
UDP,9655,34035,1
TCP,25802,80,1
TCP,8177,80,1
TCP,80,50101,1
TCP,20183,80,1
TCP,45850,80,2
TCP,39172,80,1
TCP,80,55752,1
TCP,58876,80,1
TCP,11182,80,1
TCP,11223,80,3
TCP,49948,80,1
TCP,80,2572,1
TCP,59398,80,1
TCP,2562,80,1
TCP,80,37090,1
TCP,80,56340,1
TCP,30512,80,1
TCP,54199,80,1
TCP,55173,80,1
TCP,30869,80,1
TCP,27422,80,1
TCP,27281,80,1
TCP,18756,80,1
TCP,41359,80,1
TCP,49653,80,1
TCP,1642,80,1
TCP,80,48593,1
TCP,39941,80,1
TCP,27101,80,1
TCP,80,35531,1
TCP,46883,80,1
TCP,13950,80,1
TCP,63056,80,1
TCP,80,55613,1
TCP,9312,80,1
TCP,41838,80,1
TCP,30268,80,1
TCP,2373,80,1
TCP,80,63165,2
TCP,18846,80,1
TCP,80,9599,1
TCP,80,49884,1
TCP,16454,80,1
TCP,80,47844,1
TCP,80,40873,1
TCP,6143,80,1
TCP,80,45315,1
TCP,28544,80,1
TCP,80,42322,1
TCP,43900,80,1
TCP,33955,80,1
TCP,80,60626,1
TCP,65514,80,2
TCP,80,17124,1
TCP,80,9469,2
TCP,1622,80,1
TCP,29913,80,1
TCP,29884,80,1
TCP,34527,80,1
TCP,80,22991,1
TCP,42554,80,2
TCP,17208,80,1
TCP,80,42587,2
TCP,15438,80,1
TCP,4100,80,1
UDP,42880,18138,1
TCP,291,80,1
TCP,80,44296,1
TCP,39482,80,1
TCP,47817,80,2
TCP,6615,80,1
TCP,34550,80,1
TCP,13702,80,2
TCP,80,41613,1
TCP,80,16121,1
TCP,3655,80,1
TCP,8346,80,1
TCP,44653,80,1
TCP,53956,80,1
TCP,52996,80,1
TCP,22770,80,1
TCP,80,22979,1
TCP,47929,80,2
TCP,80,26411,1
TCP,47422,80,1
TCP,24723,80,1
TCP,80,39252,1
TCP,34576,80,1
TCP,49257,80,1
TCP,55241,80,1
TCP,22021,80,1
TCP,50277,80,1
TCP,4753,80,1
TCP,60584,80,1
TCP,80,25729,1
TCP,46172,80,1
TCP,62638,80,2
TCP,59015,80,1
TCP,35564,80,2
TCP,45310,80,1
TCP,80,24700,1
TCP,18614,80,1
TCP,57601,80,1
TCP,14447,80,1
TCP,14831,80,1
TCP,56169,80,1
TCP,31069,80,1
TCP,42908,80,1
TCP,57151,80,1
TCP,20740,80,1
TCP,2846,80,2
TCP,22550,80,1
TCP,80,36966,1
TCP,40594,80,2
TCP,80,60754,1
TCP,8055,80,1
TCP,31841,80,1
TCP,34928,80,1
TCP,45945,80,2
TCP,63870,80,1
TCP,47720,80,1
TCP,80,9997,1
TCP,64241,80,1
TCP,4755,80,2
TCP,80,36982,1
TCP,41823,80,1
TCP,80,40808,1
TCP,8184,80,1
TCP,1336,80,2
TCP,55810,80,1
TCP,80,45407,1
TCP,39494,80,1
TCP,28694,80,1
TCP,23435,80,1
TCP,62570,80,1
TCP,80,12442,1
TCP,32990,80,1
TCP,60927,80,1
TCP,14311,80,1
TCP,32978,80,1
TCP,28461,80,1
TCP,28408,80,1
TCP,62355,80,1
TCP,62008,80,1
TCP,33485,80,1
TCP,15003,80,1
TCP,80,14629,1
TCP,80,35323,1
TCP,50492,80,1
TCP,15021,80,1
TCP,21302,80,2
TCP,80,55944,1
TCP,47952,80,1
TCP,3745,80,1
TCP,18619,80,1
TCP,34164,80,1
TCP,80,4476,1
TCP,58031,80,1
TCP,30438,80,1
TCP,80,55845,2
TCP,80,44178,1
TCP,80,33759,1
TCP,11684,80,1
TCP,80,63231,2
TCP,52215,80,1
TCP,53231,80,1
TCP,53881,80,2
TCP,80,44916,1
TCP,30490,80,1
TCP,37214,80,1
TCP,39822,80,1
TCP,13230,80,1
TCP,10103,80,1
TCP,33291,39114,1
TCP,13181,80,1
TCP,16026,80,1
TCP,80,21089,1
TCP,80,17023,1
TCP,80,42123,1
TCP,412,80,1
TCP,33296,80,1
TCP,80,37346,1
TCP,58840,80,1
TCP,63425,80,1
TCP,50044,80,1
TCP,36286,80,1
TCP,80,12963,1
TCP,50242,80,1
TCP,80,36810,1
TCP,39460,80,1
TCP,48448,80,1
TCP,60654,80,1
TCP,4230,80,1
TCP,34701,80,2
TCP,32905,80,1
TCP,14913,80,1
TCP,80,64690,1
TCP,28008,80,1
TCP,37859,80,1
TCP,4481,80,2
TCP,33684,80,1
TCP,5959,80,1
TCP,57271,80,1
TCP,3100,80,1
TCP,45902,80,1
TCP,5496,80,1
TCP,80,38739,1
TCP,57989,80,1
TCP,8536,80,1
TCP,10030,80,1
TCP,80,22575,1
TCP,80,17880,1
TCP,55470,80,1
TCP,61488,80,1
TCP,8085,80,2
TCP,9378,80,2
TCP,54951,80,1
TCP,5021,80,1
TCP,4416,80,1
TCP,40744,80,2
TCP,27218,80,1
TCP,41100,80,1
TCP,80,35410,1
TCP,19961,80,1
TCP,14884,80,1
TCP,62620,80,4
TCP,42314,80,1
TCP,47574,80,2
TCP,17758,80,1
TCP,39586,80,2
TCP,80,48727,1
TCP,45464,80,1
TCP,80,37373,1
TCP,80,12034,1
TCP,26427,80,1
TCP,80,26062,1
TCP,80,51052,1
TCP,53399,80,2
TCP,11680,80,1
TCP,20496,80,1
TCP,47468,80,1
TCP,50744,80,1
TCP,29057,80,1
TCP,80,11890,2
TCP,47423,80,1
TCP,4171,80,1
TCP,39217,80,1
TCP,80,22258,1
TCP,49845,80,1
TCP,80,22681,1
TCP,38650,80,1
TCP,3728,80,1
TCP,52458,80,1
TCP,2178,80,1
TCP,18123,80,1
TCP,80,8162,1
TCP,60829,80,1
TCP,63946,80,1
TCP,26371,80,1
TCP,59963,80,1
TCP,80,33766,1
TCP,37107,80,1
TCP,7436,80,1
TCP,80,62502,1
TCP,80,37357,1
TCP,53510,80,1
TCP,21569,80,2
TCP,55852,80,1
TCP,36927,80,1
TCP,80,7222,2
TCP,52543,80,1
TCP,5548,80,1
TCP,35690,80,1
TCP,51583,80,1
TCP,57366,80,1
TCP,58057,80,1
TCP,17899,80,1
TCP,10151,80,1
TCP,80,14963,1
TCP,35763,80,1
TCP,80,22469,1
TCP,37304,80,1
TCP,41127,2030,1
UDP,53,40698,1
TCP,8878,80,1
TCP,80,37808,1
TCP,48868,80,1
TCP,5287,80,1
TCP,59631,80,1
TCP,5731,80,1
TCP,24371,80,1
TCP,60953,80,1
TCP,7154,80,1
TCP,80,28551,2
TCP,60613,80,1
TCP,80,10647,1
TCP,11512,80,2
TCP,40734,80,1
TCP,29835,80,1
TCP,26469,80,1
TCP,28780,80,1
TCP,35700,80,1
TCP,80,29209,1
TCP,25168,80,1
TCP,27111,80,1
TCP,62946,80,1
TCP,39738,80,1
TCP,80,19618,1
TCP,12307,80,1
TCP,62270,80,1
TCP,43761,80,1
TCP,80,2557,1
TCP,80,12493,1
TCP,30395,80,2
TCP,80,41558,1
TCP,49090,80,1
TCP,80,42685,1
TCP,41246,80,1
TCP,21539,80,1
TCP,22872,80,1
TCP,80,63081,1
TCP,32480,80,1
TCP,39426,80,2
TCP,80,31587,1
TCP,20502,80,3
TCP,80,1583,1
TCP,80,64706,1
TCP,8982,80,1
TCP,33461,80,1
TCP,81,56280,1
TCP,31793,80,1
TCP,27827,80,1
TCP,20920,80,1
TCP,54404,80,1
TCP,14466,80,1
TCP,80,38326,1
TCP,40465,80,1
TCP,57153,80,1
TCP,18661,80,1
TCP,26139,80,1
TCP,19403,80,1
TCP,80,59110,1
TCP,56429,80,2
TCP,80,32921,1
TCP,57328,80,1
TCP,80,3638,1
TCP,80,18275,1
TCP,21423,80,2
TCP,14312,80,1
TCP,11789,80,2
TCP,10759,80,1
TCP,48285,80,1
TCP,60611,80,1
TCP,80,47040,1
TCP,30436,80,1
TCP,59870,80,1
TCP,38233,80,1
TCP,55182,80,1
TCP,35691,80,1
TCP,9360,80,1
TCP,6986,80,1
TCP,54017,80,1
TCP,24787,80,1
TCP,10197,80,1
TCP,80,38725,1
TCP,80,50610,1
TCP,791,80,1
TCP,33115,80,1
TCP,80,40389,1
TCP,80,42666,1
TCP,60614,80,1
TCP,18657,80,1
TCP,9920,80,1
TCP,59157,80,1
TCP,80,43317,1
TCP,80,8485,1
TCP,80,18273,1
TCP,80,38713,1
TCP,22018,80,1
TCP,11605,80,1
TCP,20490,80,1
TCP,36449,80,2
TCP,80,8510,1
TCP,48442,80,1
TCP,13986,80,1
TCP,62730,80,1
TCP,80,8229,1
TCP,5860,80,1
TCP,80,16661,1
TCP,13985,80,1
TCP,10707,80,1
TCP,15800,80,1
TCP,52156,80,3
TCP,80,20640,1
TCP,47921,80,1
TCP,54645,80,2
TCP,25699,80,1
TCP,50863,80,1
TCP,56286,80,2
TCP,80,5354,1
TCP,58140,80,1
TCP,25501,80,1
TCP,62167,80,2
TCP,80,13267,1
TCP,44396,80,1
TCP,80,56517,1
TCP,60064,80,1
TCP,63288,80,1
TCP,59638,80,1
